time,mlrent,sales count,mlprice,zhvi
2018-01-31,1332,5164,323782,205413
2018-02-28,1336,5688,326159,205883
2018-03-31,1339,6983,329640,206480
2018-04-30,1343,7559,334507,207497
2018-05-31,1345,8739,338163,208590
2018-06-30,1348,8872,339665,209480
2018-07-31,1350,8590,336465,210137
2018-08-31,1352,8527,331465,211081
2018-09-30,1353,6719,324967,212021
2018-10-31,1355,7117,321500,212808
2018-11-30,1357,6060,318167,213285
2018-12-31,1359,6645,316500,213810
2019-01-31,1361,4473,315000,214870
2019-02-28,1363,5119,316333,215801
2019-03-31,1365,6967,319667,216542
2019-04-30,1367,7623,324667,216692
2019-05-31,1369,8905,328672,217048
2019-06-30,1371,8312,330006,217495
2019-07-31,1373,9080,328306,218074
2019-08-31,1374,8542,324592,218495
2019-09-30,1376,7310,320258,218602
2019-10-31,1378,7482,317458,218961
2019-11-30,1378,6470,315133,219301
2019-12-31,1378,7787,312950,219823
2020-01-31,1379,5090,310447,219966
2020-02-29,1379,5920,309814,220386
2020-03-31,1378,7777,312660,221586
2020-04-30,1378,6328,315163,223022
2020-05-31,1378,6248,319830,224049
2020-06-30,1378,9091,324255,224248
2020-07-31,1378,10652,330422,224502
2020-08-31,1381,9086,335388,225229
2020-09-30,1383,9092,339967,226767
2020-10-31,1385,8961,341300,228395
2020-11-30,1389,8144,340997,230446
2020-12-31,1393,9836,337497,232664
2021-01-31,1397,6266,335493,235267
2021-02-28,1401,5876,334697,238103
2021-03-31,1406,9252,339530,240771
2021-04-30,1410,9459,347197,243883
2021-05-31,1414,9969,357660,247688
2021-06-30,1419,11237,366293,252689
